Code,Name,number_of_flights_departing
MHT,"Manchester, NH: Manchester-Boston Regional",6180
CHA,"Chattanooga, TN: Lovell Field",5850
BTV,"Burlington, VT: Burlington International",5838
ILM,"Wilmington, NC: Wilmington International",5827
PGD,"Punta Gorda, FL: Punta Gorda Airport",5707
EYW,"Key West, FL: Key West International",5527
FWA,"Fort Wayne, IN: Fort Wayne International",5515
AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",5388
FAR,"Fargo, ND: Hector International",5316
SBN,"South Bend, IN: South Bend International",5297
JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",5218
LBB,"Lubbock, TX: Lubbock Preston Smith International",5127
ATW,"Appleton, WI: Appleton International",4988
ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",4929
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",4871
PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",4772
SHV,"Shreveport, LA: Shreveport Regional",4739
BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",4709
CHO,"Charlottesville, VA: Charlottesville Albemarle",4699
SBA,"Santa Barbara, CA: Santa Barbara Municipal",4638
MOB,"Mobile, AL: Mobile Regional",4509
MSO,"Missoula, MT: Missoula International",4484
BIL,"Billings, MT: Billings Logan International",4423
ITO,"Hilo, HI: Hilo International",4365
FCA,"Kalispell, MT: Glacier Park International",4280
RAP,"Rapid City, SD: Rapid City Regional",4256
GRB,"Green Bay, WI: Green Bay Austin Straubel International",4247
TLH,"Tallahassee, FL: Tallahassee International",4235
HPN,"White Plains, NY: Westchester County",4210
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",4138
CRP,"Corpus Christi, TX: Corpus Christi International",4026
MLI,"Moline, IL: Quad City International",4006
JAC,"Jackson, WY: Jackson Hole",4003
SBP,"San Luis Obispo, CA: San Luis County Regional",3998
PIA,"Peoria, IL: General Downing - Peoria International",3968
AMA,"Amarillo, TX: Rick Husband Amarillo International",3923
TVC,"Traverse City, MI: Cherry Capital",3869
AGS,"Augusta, GA: Augusta Regional at Bush Field",3852
CAK,"Akron, OH: Akron-Canton Regional",3836
EVV,"Evansville, IN: Evansville Regional",3778
ISP,"Islip, NY: Long Island MacArthur",3758
GJT,"Grand Junction, CO: Grand Junction Regional",3705
BIS,"Bismarck/Mandan, ND: Bismarck Municipal",3671
GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",3578
STT,"Charlotte Amalie, VI: Cyril E King",3569
MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",3557
LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",3531
JNU,"Juneau, AK: Juneau International",3358
FNT,"Flint, MI: Bishop International",3304
GNV,"Gainesville, FL: Gainesville Regional",3271
TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",3172
BGR,"Bangor, ME: Bangor International",3144
HRL,"Harlingen/San Benito, TX: Valley International",3102
CRW,"Charleston/Dunbar, WV: Yeager",3090
SCE,"State College, PA: University Park",3021
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",3007
STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County",2967
MGM,"Montgomery, AL: Montgomery Regional",2932
PAE,"Everett, WA: Snohomish County",2932
DRO,"Durango, CO: Durango La Plata County",2881
FAI,"Fairbanks, AK: Fairbanks International",2846
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",2834
SGU,"St. George, UT: St George Regional",2685
MRY,"Monterey, CA: Monterey Regional",2660
OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",2645
DAB,"Daytona Beach, FL: Daytona Beach International",2580
RST,"Rochester, MN: Rochester International",2455
GTF,"Great Falls, MT: Great Falls International",2371
