date,flights_per_day
2020-04-18,8010
2020-06-07,7966
2020-06-24,7945
2020-06-23,7741
2020-06-20,7735
2020-04-25,7560
2020-06-05,7426
2020-06-17,7424
2020-06-13,7372
2020-06-16,7275
2020-06-04,7256
2020-06-10,7161
2020-06-09,6937
2020-06-01,6750
2020-05-22,6742
2020-05-31,6722
2020-05-25,6698
2020-05-03,6690
2020-05-04,6675
2020-05-21,6669
2020-05-29,6647
2020-06-06,6637
2020-05-28,6612
2020-05-24,6531
2020-05-08,6471
2020-06-03,6387
2020-05-18,6360
2020-05-15,6358
2020-05-14,6334
2020-05-11,6329
2020-05-17,6327
2020-05-02,6313
2020-05-10,6282
2020-05-07,6233
2020-05-27,6103
2020-05-20,6059
2020-05-13,5882
2020-06-02,5670
2020-05-23,5654
2020-05-30,5605
2020-05-06,5593
2020-05-26,5451
2020-05-16,5371
2020-05-09,5347
2020-05-05,5288
2020-05-19,5251
2020-05-12,5232
