Date,Name,number_of_flights
2020-01-05,Florida,1935
2020-01-05,Georgia,1137
2020-01-05,Hawaii,396
2020-01-05,Iowa,92
2020-01-05,Idaho,99
2020-01-05,Illinois,1335
2020-01-05,Indiana,202
2020-01-05,Kansas,49
2020-01-05,Kentucky,236
2020-01-05,Louisiana,249
2020-01-05,Massachusetts,380
2020-01-05,Maryland,284
2020-01-05,Maine,43
2020-01-05,Michigan,575
2020-01-05,Minnesota,434
2020-01-05,Missouri,395
2020-01-05,Mississippi,41
2020-01-05,Montana,101
2020-01-05,North Carolina,1053
2020-01-05,North Dakota,62
2020-01-05,Nebraska,92
2020-01-05,New Hampshire,24
2020-01-05,New Jersey,452
2020-01-05,New Mexico,87
2020-01-05,Nevada,598
2020-01-05,New York,1039
2020-01-05,Ohio,355
2020-01-05,Oklahoma,131
2020-01-05,Oregon,311
2020-01-05,Pennsylvania,619
2020-01-05,Puerto Rico,108
2020-01-05,Rhode Island,46
2020-01-05,South Carolina,183
2020-01-05,South Dakota,47
2020-01-05,Tennessee,404
2020-01-05,Pacific Trust Territories and Possessions,3
2020-01-05,Texas,2278
2020-01-05,Utah,375
2020-01-05,Virginia,826
2020-01-05,Virgin Islands,19
2020-01-05,Vermont,31
2020-01-05,Washington,653
2020-01-05,Wisconsin,196
2020-01-05,West Virginia,22
2020-01-05,Wyoming,41
2020-01-06,Alaska,101
2020-01-06,Alabama,123
2020-01-06,Arkansas,97
2020-01-06,Arizona,623
2020-01-06,California,2468
2020-01-06,Colorado,890
2020-01-06,Connecticut,82
2020-01-06,Florida,1831
2020-01-06,Georgia,1198
2020-01-06,Hawaii,360
2020-01-06,Iowa,96
2020-01-06,Idaho,101
2020-01-06,Illinois,1339
2020-01-06,Indiana,206
2020-01-06,Kansas,52
2020-01-06,Kentucky,260
2020-01-06,Louisiana,233
2020-01-06,Massachusetts,449
2020-01-06,Maryland,282
2020-01-06,Maine,45
2020-01-06,Michigan,636
2020-01-06,Minnesota,470
2020-01-06,Missouri,400
2020-01-06,Mississippi,47
2020-01-06,Montana,87
2020-01-06,North Carolina,1088
2020-01-06,North Dakota,63
2020-01-06,Nebraska,100
2020-01-06,New Hampshire,26
2020-01-06,New Jersey,477
2020-01-06,New Mexico,88
2020-01-06,Nevada,615
2020-01-06,New York,1170
2020-01-06,Ohio,345
2020-01-06,Oklahoma,130
2020-01-06,Oregon,311
2020-01-06,Pennsylvania,640
2020-01-06,Puerto Rico,98
2020-01-06,Rhode Island,49
2020-01-06,South Carolina,180
2020-01-06,South Dakota,47
2020-01-06,Tennessee,405
2020-01-06,Pacific Trust Territories and Possessions,4
2020-01-06,Texas,2241
2020-01-06,Utah,371
2020-01-06,Virginia,883
2020-01-06,Virgin Islands,17
2020-01-06,Vermont,31
2020-01-06,Washington,651
2020-01-06,Wisconsin,205
2020-01-06,West Virginia,24
2020-01-06,Wyoming,29
2020-01-07,Alaska,94
2020-01-07,Alabama,113
2020-01-07,Arkansas,89
2020-01-07,Arizona,524
2020-01-07,California,2268
2020-01-07,Colorado,839
2020-01-07,Connecticut,77
2020-01-07,Florida,1564
2020-01-07,Georgia,1167
2020-01-07,Hawaii,334
2020-01-07,Iowa,83
2020-01-07,Idaho,91
2020-01-07,Illinois,1262
2020-01-07,Indiana,185
2020-01-07,Kansas,47
2020-01-07,Kentucky,234
2020-01-07,Louisiana,217
2020-01-07,Massachusetts,428
2020-01-07,Maryland,260
2020-01-07,Maine,47
2020-01-07,Michigan,588
2020-01-07,Minnesota,448
2020-01-07,Missouri,389
2020-01-07,Mississippi,43
2020-01-07,Montana,76
2020-01-07,North Carolina,941
2020-01-07,North Dakota,55
2020-01-07,Nebraska,88
2020-01-07,New Hampshire,24
2020-01-07,New Jersey,464
2020-01-07,New Mexico,77
2020-01-07,Nevada,505
2020-01-07,New York,1114
2020-01-07,Ohio,321
2020-01-07,Oklahoma,117
2020-01-07,Oregon,285
2020-01-07,Pennsylvania,579
2020-01-07,Puerto Rico,94
2020-01-07,Rhode Island,47
2020-01-07,South Carolina,163
2020-01-07,South Dakota,39
2020-01-07,Tennessee,378
2020-01-07,Pacific Trust Territories and Possessions,5
2020-01-07,Texas,2038
2020-01-07,Utah,352
2020-01-07,Virginia,860
2020-01-07,Virgin Islands,14
2020-01-07,Vermont,27
2020-01-07,Washington,597
2020-01-07,Wisconsin,194
2020-01-07,West Virginia,18
2020-01-07,Wyoming,24
2020-01-08,Alaska,98
2020-01-08,Alabama,124
2020-01-08,Arkansas,92
2020-01-08,Arizona,578
2020-01-08,California,2298
2020-01-08,Colorado,850
2020-01-08,Connecticut,76
2020-01-08,Florida,1606
2020-01-08,Georgia,1175
2020-01-08,Hawaii,329
2020-01-08,Iowa,89
2020-01-08,Idaho,91
2020-01-08,Illinois,1289
2020-01-08,Indiana,187
2020-01-08,Kansas,48
2020-01-08,Kentucky,239
2020-01-08,Louisiana,222
2020-01-08,Massachusetts,420
2020-01-08,Maryland,266
2020-01-08,Maine,49
2020-01-08,Michigan,610
2020-01-08,Minnesota,462
2020-01-08,Missouri,395
2020-01-08,Mississippi,46
2020-01-08,Montana,76
2020-01-08,North Carolina,1057
2020-01-08,North Dakota,61
2020-01-08,Nebraska,91
2020-01-08,New Hampshire,26
2020-01-08,New Jersey,459
2020-01-08,New Mexico,78
2020-01-08,Nevada,505
2020-01-08,New York,1145
2020-01-08,Ohio,328
2020-01-08,Oklahoma,120
2020-01-08,Oregon,289
2020-01-08,Pennsylvania,591
2020-01-08,Puerto Rico,92
2020-01-08,Rhode Island,49
2020-01-08,South Carolina,173
2020-01-08,South Dakota,40
2020-01-08,Tennessee,381
2020-01-08,Pacific Trust Territories and Possessions,3
2020-01-08,Texas,2092
2020-01-08,Utah,354
2020-01-08,Virginia,870
2020-01-08,Virgin Islands,13
2020-01-08,Vermont,27
2020-01-08,Washington,612
2020-01-08,Wisconsin,199
2020-01-08,West Virginia,22
2020-01-08,Wyoming,26
2020-01-09,Alaska,96
2020-01-09,Alabama,130
2020-01-09,Arkansas,103
2020-01-09,Arizona,614
2020-01-09,California,2403
2020-01-09,Colorado,882
2020-01-09,Connecticut,84
2020-01-09,Florida,1765
2020-01-09,Georgia,1199
2020-01-09,Hawaii,337
2020-01-09,Iowa,95
2020-01-09,Idaho,96
2020-01-09,Illinois,1337
2020-01-09,Indiana,200
2020-01-09,Kansas,49
2020-01-09,Kentucky,260
2020-01-09,Louisiana,237
2020-01-09,Massachusetts,450
2020-01-09,Maryland,270
2020-01-09,Maine,47
2020-01-09,Michigan,621
2020-01-09,Minnesota,470
2020-01-09,Missouri,407
2020-01-09,Mississippi,48
2020-01-09,Montana,86
2020-01-09,North Carolina,1083
2020-01-09,North Dakota,67
2020-01-09,Nebraska,95
2020-01-09,New Hampshire,27
2020-01-09,New Jersey,472
2020-01-09,New Mexico,83
2020-01-09,Nevada,605
2020-01-09,New York,1169
2020-01-09,Ohio,355
2020-01-09,Oklahoma,127
2020-01-09,Oregon,305
2020-01-09,Pennsylvania,652
2020-01-09,Puerto Rico,92
2020-01-09,Rhode Island,51
2020-01-09,South Carolina,180
2020-01-09,South Dakota,44
2020-01-09,Tennessee,409
2020-01-09,Pacific Trust Territories and Possessions,6
2020-01-09,Texas,2265
2020-01-09,Utah,368
2020-01-09,Virginia,893
2020-01-09,Virgin Islands,18
2020-01-09,Vermont,28
2020-01-09,Washington,650
2020-01-09,Wisconsin,207
2020-01-09,West Virginia,21
2020-01-09,Wyoming,29
2020-01-10,Alaska,98
2020-01-10,Alabama,133
2020-01-10,Arkansas,98
2020-01-10,Arizona,611
2020-01-10,California,2422
2020-01-10,Colorado,873
2020-01-10,Connecticut,84
2020-01-10,Florida,1771
2020-01-10,Georgia,1192
2020-01-10,Hawaii,346
2020-01-10,Iowa,92
2020-01-10,Idaho,96
2020-01-10,Illinois,1335
2020-01-10,Indiana,201
2020-01-10,Kansas,52
2020-01-10,Kentucky,261
2020-01-10,Louisiana,235
2020-01-10,Massachusetts,447
2020-01-10,Maryland,273
2020-01-10,Maine,50
2020-01-10,Michigan,631
2020-01-10,Minnesota,472
2020-01-10,Missouri,407
2020-01-10,Mississippi,48
2020-01-10,Montana,85
2020-01-10,North Carolina,1085
2020-01-10,North Dakota,63
2020-01-10,Nebraska,98
2020-01-10,New Hampshire,29
2020-01-10,New Jersey,474
2020-01-10,New Mexico,83
2020-01-10,Nevada,626
2020-01-10,New York,1172
2020-01-10,Ohio,347
2020-01-10,Oklahoma,126
2020-01-10,Oregon,304
2020-01-10,Pennsylvania,652
2020-01-10,Puerto Rico,97
2020-01-10,Rhode Island,51
2020-01-10,South Carolina,179
2020-01-10,South Dakota,44
2020-01-10,Tennessee,410
2020-01-10,Pacific Trust Territories and Possessions,3
2020-01-10,Texas,2258
2020-01-10,Utah,368
2020-01-10,Virginia,889
2020-01-10,Virgin Islands,15
2020-01-10,Vermont,29
2020-01-10,Washington,647
2020-01-10,Wisconsin,203
2020-01-10,West Virginia,24
2020-01-10,Wyoming,28
2020-01-11,Alaska,89
2020-01-11,Alabama,84
2020-01-11,Arkansas,62
2020-01-11,Arizona,522
2020-01-11,California,1845
2020-01-11,Colorado,758
2020-01-11,Connecticut,72
2020-01-11,Florida,1724
2020-01-11,Georgia,843
2020-01-11,Hawaii,347
2020-01-11,Iowa,74
2020-01-11,Idaho,82
2020-01-11,Illinois,1001
2020-01-11,Indiana,157
2020-01-11,Kansas,31
2020-01-11,Kentucky,172
2020-01-11,Louisiana,181
2020-01-11,Massachusetts,280
2020-01-11,Maryland,209
2020-01-11,Maine,43
2020-01-11,Michigan,453
2020-01-11,Minnesota,317
2020-01-11,Missouri,265
2020-01-11,Mississippi,35
2020-01-11,Montana,75
2020-01-11,North Carolina,852
2020-01-11,North Dakota,56
2020-01-11,Nebraska,72
2020-01-11,New Hampshire,26
2020-01-11,New Jersey,327
2020-01-11,New Mexico,56
2020-01-11,Nevada,485
2020-01-11,New York,796
2020-01-11,Ohio,259
2020-01-11,Oklahoma,84
2020-01-11,Oregon,235
2020-01-11,Pennsylvania,495
2020-01-11,Puerto Rico,107
2020-01-11,Rhode Island,45
2020-01-11,South Carolina,145
2020-01-11,South Dakota,37
2020-01-11,Tennessee,284
2020-01-11,Pacific Trust Territories and Possessions,5
2020-01-11,Texas,1642
2020-01-11,Utah,283
2020-01-11,Virginia,658
2020-01-11,Virgin Islands,23
2020-01-11,Vermont,25
2020-01-11,Washington,504
2020-01-11,Wisconsin,160
2020-01-11,West Virginia,17
2020-01-11,Wyoming,30
2020-01-12,Alaska,92
