Date,Name,number_of_flights
2020-03-03,Kentucky,245
2020-03-03,Louisiana,247
2020-03-03,Massachusetts,455
2020-03-03,Maryland,269
2020-03-03,Maine,49
2020-03-03,Michigan,614
2020-03-03,Minnesota,463
2020-03-03,Missouri,401
2020-03-03,Mississippi,46
2020-03-03,Montana,81
2020-03-03,North Carolina,1028
2020-03-03,North Dakota,59
2020-03-03,Nebraska,93
2020-03-03,New Hampshire,32
2020-03-03,New Jersey,471
2020-03-03,New Mexico,85
2020-03-03,Nevada,506
2020-03-03,New York,1157
2020-03-03,Ohio,347
2020-03-03,Oklahoma,119
2020-03-03,Oregon,291
2020-03-03,Pennsylvania,636
2020-03-03,Puerto Rico,86
2020-03-03,Rhode Island,53
2020-03-03,South Carolina,178
2020-03-03,South Dakota,44
2020-03-03,Tennessee,395
2020-03-03,Pacific Trust Territories and Possessions,5
2020-03-03,Texas,2206
2020-03-03,Utah,357
2020-03-03,Virginia,887
2020-03-03,Virgin Islands,17
2020-03-03,Vermont,30
2020-03-03,Washington,633
2020-03-03,Wisconsin,205
2020-03-03,West Virginia,22
2020-03-03,Wyoming,33
2020-03-04,Alaska,98
2020-03-04,Alabama,127
2020-03-04,Arkansas,97
2020-03-04,Arizona,628
2020-03-04,California,2399
2020-03-04,Colorado,898
2020-03-04,Connecticut,87
2020-03-04,Florida,1799
2020-03-04,Georgia,1188
2020-03-04,Hawaii,344
2020-03-04,Iowa,96
2020-03-04,Idaho,94
2020-03-04,Illinois,1352
2020-03-04,Indiana,210
2020-03-04,Kansas,51
2020-03-04,Kentucky,251
2020-03-04,Louisiana,246
2020-03-04,Massachusetts,454
2020-03-04,Maryland,272
2020-03-04,Maine,52
2020-03-04,Michigan,630
2020-03-04,Minnesota,475
2020-03-04,Missouri,400
2020-03-04,Mississippi,50
2020-03-04,Montana,83
2020-03-04,North Carolina,1058
2020-03-04,North Dakota,67
2020-03-04,Nebraska,99
2020-03-04,New Hampshire,32
2020-03-04,New Jersey,474
2020-03-04,New Mexico,85
2020-03-04,Nevada,522
2020-03-04,New York,1177
2020-03-04,Ohio,347
2020-03-04,Oklahoma,120
2020-03-04,Oregon,298
2020-03-04,Pennsylvania,642
2020-03-04,Puerto Rico,85
2020-03-04,Rhode Island,51
2020-03-04,South Carolina,185
2020-03-04,South Dakota,45
2020-03-04,Tennessee,402
2020-03-04,Pacific Trust Territories and Possessions,3
2020-03-04,Texas,2214
2020-03-04,Utah,360
2020-03-04,Virginia,888
2020-03-04,Virgin Islands,15
2020-03-04,Vermont,30
2020-03-04,Washington,637
2020-03-04,Wisconsin,204
2020-03-04,West Virginia,24
2020-03-04,Wyoming,33
2020-03-05,Alaska,96
2020-03-05,Alabama,130
2020-03-05,Arkansas,106
2020-03-05,Arizona,649
2020-03-05,California,2478
2020-03-05,Colorado,932
2020-03-05,Connecticut,89
2020-03-05,Florida,1864
2020-03-05,Georgia,1206
2020-03-05,Hawaii,363
2020-03-05,Iowa,96
2020-03-05,Idaho,99
2020-03-05,Illinois,1403
2020-03-05,Indiana,209
2020-03-05,Kansas,50
2020-03-05,Kentucky,266
2020-03-05,Louisiana,258
2020-03-05,Massachusetts,469
2020-03-05,Maryland,273
2020-03-05,Maine,52
2020-03-05,Michigan,641
2020-03-05,Minnesota,476
2020-03-05,Missouri,405
2020-03-05,Mississippi,47
2020-03-05,Montana,87
2020-03-05,North Carolina,1083
2020-03-05,North Dakota,69
2020-03-05,Nebraska,99
2020-03-05,New Hampshire,30
2020-03-05,New Jersey,489
2020-03-05,New Mexico,89
2020-03-05,Nevada,559
2020-03-05,New York,1183
2020-03-05,Ohio,359
2020-03-05,Oklahoma,126
2020-03-05,Oregon,306
2020-03-05,Pennsylvania,672
2020-03-05,Puerto Rico,86
2020-03-05,Rhode Island,53
2020-03-05,South Carolina,199
2020-03-05,South Dakota,47
2020-03-05,Tennessee,422
2020-03-05,Pacific Trust Territories and Possessions,6
2020-03-05,Texas,2305
2020-03-05,Utah,371
2020-03-05,Virginia,921
2020-03-05,Virgin Islands,18
2020-03-05,Vermont,30
2020-03-05,Washington,659
2020-03-05,Wisconsin,208
2020-03-05,West Virginia,23
2020-03-05,Wyoming,35
2020-03-06,Alaska,98
2020-03-06,Alabama,133
2020-03-06,Arkansas,100
2020-03-06,Arizona,659
2020-03-06,California,2490
2020-03-06,Colorado,928
2020-03-06,Connecticut,87
2020-03-06,Florida,1877
2020-03-06,Georgia,1209
2020-03-06,Hawaii,379
2020-03-06,Iowa,95
2020-03-06,Idaho,98
2020-03-06,Illinois,1400
2020-03-06,Indiana,212
2020-03-06,Kansas,50
2020-03-06,Kentucky,270
2020-03-06,Louisiana,263
2020-03-06,Massachusetts,468
2020-03-06,Maryland,278
2020-03-06,Maine,54
2020-03-06,Michigan,647
2020-03-06,Minnesota,479
2020-03-06,Missouri,408
2020-03-06,Mississippi,47
2020-03-06,Montana,85
2020-03-06,North Carolina,1093
2020-03-06,North Dakota,62
2020-03-06,Nebraska,99
2020-03-06,New Hampshire,32
2020-03-06,New Jersey,488
2020-03-06,New Mexico,91
2020-03-06,Nevada,568
2020-03-06,New York,1195
2020-03-06,Ohio,362
2020-03-06,Oklahoma,128
2020-03-06,Oregon,308
2020-03-06,Pennsylvania,673
2020-03-06,Puerto Rico,91
2020-03-06,Rhode Island,53
2020-03-06,South Carolina,198
2020-03-06,South Dakota,46
2020-03-06,Tennessee,424
2020-03-06,Pacific Trust Territories and Possessions,3
2020-03-06,Texas,2313
2020-03-06,Utah,376
2020-03-06,Virginia,917
2020-03-06,Virgin Islands,16
2020-03-06,Vermont,31
2020-03-06,Washington,654
2020-03-06,Wisconsin,204
2020-03-06,West Virginia,23
2020-03-06,Wyoming,36
2020-03-07,Alaska,90
2020-03-07,Alabama,98
2020-03-07,Arkansas,68
2020-03-07,Arizona,663
2020-03-07,California,2002
2020-03-07,Colorado,892
2020-03-07,Connecticut,75
2020-03-07,Florida,2035
2020-03-07,Georgia,876
2020-03-07,Hawaii,378
2020-03-07,Iowa,83
2020-03-07,Idaho,83
2020-03-07,Illinois,1183
2020-03-07,Indiana,190
2020-03-07,Kansas,39
2020-03-07,Kentucky,194
2020-03-07,Louisiana,204
2020-03-07,Massachusetts,323
2020-03-07,Maryland,235
2020-03-07,Maine,48
2020-03-07,Michigan,483
2020-03-07,Minnesota,336
2020-03-07,Missouri,331
2020-03-07,Mississippi,35
2020-03-07,Montana,82
2020-03-07,North Carolina,920
2020-03-07,North Dakota,58
2020-03-07,Nebraska,80
2020-03-07,New Hampshire,31
2020-03-07,New Jersey,413
2020-03-07,New Mexico,74
2020-03-07,Nevada,483
2020-03-07,New York,854
2020-03-07,Ohio,302
2020-03-07,Oklahoma,99
2020-03-07,Oregon,255
2020-03-07,Pennsylvania,556
2020-03-07,Puerto Rico,100
2020-03-07,Rhode Island,45
2020-03-07,South Carolina,169
2020-03-07,South Dakota,42
2020-03-07,Tennessee,337
2020-03-07,Pacific Trust Territories and Possessions,5
2020-03-07,Texas,1948
2020-03-07,Utah,299
2020-03-07,Virginia,707
2020-03-07,Virgin Islands,24
2020-03-07,Vermont,26
2020-03-07,Washington,540
2020-03-07,Wisconsin,178
2020-03-07,West Virginia,18
2020-03-07,Wyoming,38
2020-03-08,Alaska,92
2020-03-08,Alabama,131
2020-03-08,Arkansas,102
2020-03-08,Arizona,690
2020-03-08,California,2337
2020-03-08,Colorado,938
2020-03-08,Connecticut,77
2020-03-08,Florida,1969
2020-03-08,Georgia,1131
2020-03-08,Hawaii,369
2020-03-08,Iowa,97
2020-03-08,Idaho,97
2020-03-08,Illinois,1363
2020-03-08,Indiana,217
2020-03-08,Kansas,50
2020-03-08,Kentucky,249
2020-03-08,Louisiana,259
2020-03-08,Massachusetts,419
2020-03-08,Maryland,265
2020-03-08,Maine,52
2020-03-08,Michigan,581
2020-03-08,Minnesota,436
2020-03-08,Missouri,395
2020-03-08,Mississippi,45
2020-03-08,Montana,88
2020-03-08,North Carolina,1054
2020-03-08,North Dakota,65
2020-03-08,Nebraska,96
2020-03-08,New Hampshire,26
2020-03-08,New Jersey,468
2020-03-08,New Mexico,85
2020-03-08,Nevada,584
2020-03-08,New York,1085
2020-03-08,Ohio,352
2020-03-08,Oklahoma,123
2020-03-08,Oregon,292
2020-03-08,Pennsylvania,640
2020-03-08,Puerto Rico,102
2020-03-08,Rhode Island,49
2020-03-08,South Carolina,201
2020-03-08,South Dakota,46
2020-03-08,Tennessee,427
2020-03-08,Pacific Trust Territories and Possessions,3
2020-03-08,Texas,2267
2020-03-08,Utah,364
2020-03-08,Virginia,870
2020-03-08,Virgin Islands,18
2020-03-08,Vermont,28
2020-03-08,Washington,619
2020-03-08,Wisconsin,203
2020-03-08,West Virginia,23
2020-03-08,Wyoming,39
2020-03-09,Alaska,97
2020-03-09,Alabama,134
2020-03-09,Arkansas,102
2020-03-09,Arizona,655
2020-03-09,California,2486
2020-03-09,Colorado,952
2020-03-09,Connecticut,85
2020-03-09,Florida,1921
2020-03-09,Georgia,1218
2020-03-09,Hawaii,364
2020-03-09,Iowa,96
2020-03-09,Idaho,100
2020-03-09,Illinois,1437
2020-03-09,Indiana,216
2020-03-09,Kansas,50
2020-03-09,Kentucky,274
2020-03-09,Louisiana,253
2020-03-09,Massachusetts,470
2020-03-09,Maryland,298
2020-03-09,Maine,54
2020-03-09,Michigan,652
2020-03-09,Minnesota,480
2020-03-09,Missouri,419
2020-03-09,Mississippi,47
2020-03-09,Montana,85
2020-03-09,North Carolina,1092
2020-03-09,North Dakota,63
2020-03-09,Nebraska,101
2020-03-09,New Hampshire,32
2020-03-09,New Jersey,492
2020-03-09,New Mexico,89
2020-03-09,Nevada,580
2020-03-09,New York,1207
2020-03-09,Ohio,370
2020-03-09,Oklahoma,129
2020-03-09,Oregon,309
2020-03-09,Pennsylvania,681
2020-03-09,Puerto Rico,95
2020-03-09,Rhode Island,53
2020-03-09,South Carolina,199
2020-03-09,South Dakota,46
2020-03-09,Tennessee,423
2020-03-09,Pacific Trust Territories and Possessions,4
2020-03-09,Texas,2306
2020-03-09,Utah,374
2020-03-09,Virginia,918
2020-03-09,Virgin Islands,17
2020-03-09,Vermont,31
2020-03-09,Washington,653
2020-03-09,Wisconsin,210
2020-03-09,West Virginia,23
2020-03-09,Wyoming,37
2020-03-10,Alaska,94
2020-03-10,Alabama,127
2020-03-10,Arkansas,100
2020-03-10,Arizona,633
2020-03-10,California,2407
2020-03-10,Colorado,926
2020-03-10,Connecticut,86
2020-03-10,Florida,1838
2020-03-10,Georgia,1193
2020-03-10,Hawaii,353
2020-03-10,Iowa,93
2020-03-10,Idaho,98
2020-03-10,Illinois,1413
2020-03-10,Indiana,206
2020-03-10,Kansas,45
2020-03-10,Kentucky,253
2020-03-10,Louisiana,239
2020-03-10,Massachusetts,464
2020-03-10,Maryland,294
2020-03-10,Maine,50
2020-03-10,Michigan,621
2020-03-10,Minnesota,466
2020-03-10,Missouri,414
2020-03-10,Mississippi,44
2020-03-10,Montana,83
2020-03-10,North Carolina,1035
2020-03-10,North Dakota,60
2020-03-10,Nebraska,96
2020-03-10,New Hampshire,31
2020-03-10,New Jersey,484
2020-03-10,New Mexico,88
2020-03-10,Nevada,526
2020-03-10,New York,1171
2020-03-10,Ohio,360
2020-03-10,Oklahoma,123
2020-03-10,Oregon,299
2020-03-10,Pennsylvania,660
2020-03-10,Puerto Rico,91
2020-03-10,Rhode Island,52
2020-03-10,South Carolina,189
2020-03-10,South Dakota,45
2020-03-10,Tennessee,405
2020-03-10,Pacific Trust Territories and Possessions,5
2020-03-10,Texas,2229
2020-03-10,Utah,360
2020-03-10,Virginia,905
2020-03-10,Virgin Islands,16
2020-03-10,Vermont,30
2020-03-10,Washington,636
2020-03-10,Wisconsin,210
2020-03-10,West Virginia,22
2020-03-10,Wyoming,33
2020-03-11,Alaska,99
2020-03-11,Alabama,130
2020-03-11,Arkansas,99
2020-03-11,Arizona,653
2020-03-11,California,2441
2020-03-11,Colorado,935
2020-03-11,Connecticut,85
2020-03-11,Florida,1894
2020-03-11,Georgia,1193
2020-03-11,Hawaii,359
2020-03-11,Iowa,101
2020-03-11,Idaho,97
2020-03-11,Illinois,1430
2020-03-11,Indiana,218
2020-03-11,Kansas,47
2020-03-11,Kentucky,262
2020-03-11,Louisiana,240
2020-03-11,Massachusetts,461
2020-03-11,Maryland,297
2020-03-11,Maine,53
2020-03-11,Michigan,635
2020-03-11,Minnesota,477
2020-03-11,Missouri,415
2020-03-11,Mississippi,48
2020-03-11,Montana,82
2020-03-11,North Carolina,1062
2020-03-11,North Dakota,66
2020-03-11,Nebraska,101
2020-03-11,New Hampshire,32
2020-03-11,New Jersey,486
2020-03-11,New Mexico,86
2020-03-11,Nevada,545
2020-03-11,New York,1188
2020-03-11,Ohio,360
2020-03-11,Oklahoma,126
2020-03-11,Oregon,305
2020-03-11,Pennsylvania,667
2020-03-11,Puerto Rico,89
2020-03-11,Rhode Island,52
2020-03-11,South Carolina,194
2020-03-11,South Dakota,45
2020-03-11,Tennessee,407
2020-03-11,Pacific Trust Territories and Possessions,3
2020-03-11,Texas,2242
2020-03-11,Utah,364
2020-03-11,Virginia,903
2020-03-11,Virgin Islands,15
2020-03-11,Vermont,30
2020-03-11,Washington,644
2020-03-11,Wisconsin,207
2020-03-11,West Virginia,23
2020-03-11,Wyoming,31
2020-03-12,Alaska,96
2020-03-12,Alabama,133
2020-03-12,Arkansas,107
2020-03-12,Arizona,679
2020-03-12,California,2515
2020-03-12,Colorado,967
2020-03-12,Connecticut,85
2020-03-12,Florida,1928
2020-03-12,Georgia,1250
2020-03-12,Hawaii,370
2020-03-12,Iowa,100
2020-03-12,Idaho,103
2020-03-12,Illinois,1444
2020-03-12,Indiana,218
2020-03-12,Kansas,51
2020-03-12,Kentucky,279
2020-03-12,Louisiana,249
2020-03-12,Massachusetts,477
2020-03-12,Maryland,298
2020-03-12,Maine,54
2020-03-12,Michigan,674
2020-03-12,Minnesota,500
2020-03-12,Missouri,417
2020-03-12,Mississippi,47
2020-03-12,Montana,89
2020-03-12,North Carolina,1094
2020-03-12,North Dakota,68
2020-03-12,Nebraska,102
2020-03-12,New Hampshire,30
2020-03-12,New Jersey,492
2020-03-12,New Mexico,90
2020-03-12,Nevada,582
2020-03-12,New York,1228
2020-03-12,Ohio,374
2020-03-12,Oklahoma,129
2020-03-12,Oregon,313
2020-03-12,Pennsylvania,690
2020-03-12,Puerto Rico,90
2020-03-12,Rhode Island,53
2020-03-12,South Carolina,205
2020-03-12,South Dakota,48
2020-03-12,Tennessee,432
2020-03-12,Pacific Trust Territories and Possessions,6
2020-03-12,Texas,2311
2020-03-12,Utah,394
2020-03-12,Virginia,933
2020-03-12,Virgin Islands,18
2020-03-12,Vermont,31
2020-03-12,Washington,672
2020-03-12,Wisconsin,213
2020-03-12,West Virginia,23
2020-03-12,Wyoming,36
2020-03-13,Alaska,98
2020-03-13,Alabama,135
2020-03-13,Arkansas,102
2020-03-13,Arizona,681
2020-03-13,California,2516
2020-03-13,Colorado,961
2020-03-13,Connecticut,86
2020-03-13,Florida,1946
2020-03-13,Georgia,1253
2020-03-13,Hawaii,383
2020-03-13,Iowa,101
2020-03-13,Idaho,101
2020-03-13,Illinois,1444
2020-03-13,Indiana,219
2020-03-13,Kansas,51
2020-03-13,Kentucky,280
2020-03-13,Louisiana,252
2020-03-13,Massachusetts,479
2020-03-13,Maryland,299
2020-03-13,Maine,55
2020-03-13,Michigan,680
2020-03-13,Minnesota,503
2020-03-13,Missouri,419
2020-03-13,Mississippi,47
2020-03-13,Montana,88
2020-03-13,North Carolina,1101
2020-03-13,North Dakota,64
2020-03-13,Nebraska,102
2020-03-13,New Hampshire,32
2020-03-13,New Jersey,493
2020-03-13,New Mexico,91
2020-03-13,Nevada,588
2020-03-13,New York,1236
2020-03-13,Ohio,376
2020-03-13,Oklahoma,130
2020-03-13,Oregon,315
2020-03-13,Pennsylvania,689
2020-03-13,Puerto Rico,95
2020-03-13,Rhode Island,52
2020-03-13,South Carolina,205
2020-03-13,South Dakota,47
2020-03-13,Tennessee,435
2020-03-13,Pacific Trust Territories and Possessions,3
2020-03-13,Texas,2322
2020-03-13,Utah,396
2020-03-13,Virginia,926
2020-03-13,Virgin Islands,16
2020-03-13,Vermont,32
2020-03-13,Washington,670
2020-03-13,Wisconsin,209
2020-03-13,West Virginia,23
2020-03-13,Wyoming,36
2020-03-14,Alaska,91
2020-03-14,Alabama,102
2020-03-14,Arkansas,69
2020-03-14,Arizona,657
2020-03-14,California,2021
2020-03-14,Colorado,900
2020-03-14,Connecticut,75
2020-03-14,Florida,2109
2020-03-14,Georgia,1013
2020-03-14,Hawaii,383
2020-03-14,Iowa,90
2020-03-14,Idaho,90
2020-03-14,Illinois,1199
2020-03-14,Indiana,201
2020-03-14,Kansas,40
2020-03-14,Kentucky,209
2020-03-14,Louisiana,206
2020-03-14,Massachusetts,332
2020-03-14,Maryland,233
2020-03-14,Maine,48
2020-03-14,Michigan,518
2020-03-14,Minnesota,390
2020-03-14,Missouri,335
2020-03-14,Mississippi,35
2020-03-14,Montana,87
2020-03-14,North Carolina,939
2020-03-14,North Dakota,60
2020-03-14,Nebraska,84
2020-03-14,New Hampshire,31
2020-03-14,New Jersey,416
2020-03-14,New Mexico,74
2020-03-14,Nevada,493
2020-03-14,New York,914
2020-03-14,Ohio,316
2020-03-14,Oklahoma,100
2020-03-14,Oregon,261
2020-03-14,Pennsylvania,562
2020-03-14,Puerto Rico,103
2020-03-14,Rhode Island,45
2020-03-14,South Carolina,178
2020-03-14,South Dakota,43
2020-03-14,Tennessee,348
2020-03-14,Pacific Trust Territories and Possessions,5
2020-03-14,Texas,1970
2020-03-14,Utah,326
2020-03-14,Virginia,716
2020-03-14,Virgin Islands,23
2020-03-14,Vermont,27
2020-03-14,Washington,560
2020-03-14,Wisconsin,185
2020-03-14,West Virginia,19
2020-03-14,Wyoming,38
2020-03-15,Alaska,92
2020-03-15,Alabama,134
2020-03-15,Arkansas,103
2020-03-15,Arizona,689
2020-03-15,California,2360
2020-03-15,Colorado,944
2020-03-15,Connecticut,81
2020-03-15,Florida,2006
2020-03-15,Georgia,1213
2020-03-15,Hawaii,369
2020-03-15,Iowa,99
2020-03-15,Idaho,99
2020-03-15,Illinois,1367
2020-03-15,Indiana,224
2020-03-15,Kansas,51
2020-03-15,Kentucky,267
2020-03-15,Louisiana,263
2020-03-15,Massachusetts,428
2020-03-15,Maryland,269
2020-03-15,Maine,55
2020-03-15,Michigan,629
2020-03-15,Minnesota,474
2020-03-15,Missouri,404
2020-03-15,Mississippi,45
2020-03-15,Montana,92
2020-03-15,North Carolina,1062
2020-03-15,North Dakota,67
2020-03-15,Nebraska,98
2020-03-15,New Hampshire,26
2020-03-15,New Jersey,473
2020-03-15,New Mexico,86
2020-03-15,Nevada,590
2020-03-15,New York,1125
2020-03-15,Ohio,362
2020-03-15,Oklahoma,122
2020-03-15,Oregon,293
2020-03-15,Pennsylvania,655
2020-03-15,Puerto Rico,103
2020-03-15,Rhode Island,50
2020-03-15,South Carolina,207
2020-03-15,South Dakota,47
2020-03-15,Tennessee,439
2020-03-15,Pacific Trust Territories and Possessions,3
2020-03-15,Texas,2299
2020-03-15,Utah,388
2020-03-15,Virginia,883
2020-03-15,Virgin Islands,18
2020-03-15,Vermont,30
2020-03-15,Washington,638
2020-03-15,Wisconsin,210
2020-03-15,West Virginia,23
2020-03-15,Wyoming,39
2020-03-16,Alaska,97
2020-03-16,Alabama,135
2020-03-16,Arkansas,102
2020-03-16,Arizona,656
2020-03-16,California,2498
2020-03-16,Colorado,958
2020-03-16,Connecticut,86
2020-03-16,Florida,1949
2020-03-16,Georgia,1266
2020-03-16,Hawaii,369
2020-03-16,Iowa,100
2020-03-16,Idaho,100
2020-03-16,Illinois,1446
2020-03-16,Indiana,221
2020-03-16,Kansas,51
2020-03-16,Kentucky,281
2020-03-16,Louisiana,251
2020-03-16,Massachusetts,483
2020-03-16,Maryland,298
2020-03-16,Maine,55
2020-03-16,Michigan,689
2020-03-16,Minnesota,513
2020-03-16,Missouri,421
2020-03-16,Mississippi,47
2020-03-16,Montana,88
2020-03-16,North Carolina,1097
2020-03-16,North Dakota,65
2020-03-16,Nebraska,102
2020-03-16,New Hampshire,32
2020-03-16,New Jersey,497
2020-03-16,New Mexico,90
2020-03-16,Nevada,579
2020-03-16,New York,1238
2020-03-16,Ohio,378
2020-03-16,Oklahoma,130
2020-03-16,Oregon,313
2020-03-16,Pennsylvania,685
2020-03-16,Puerto Rico,95
2020-03-16,Rhode Island,53
2020-03-16,South Carolina,205
2020-03-16,South Dakota,47
2020-03-16,Tennessee,436
2020-03-16,Pacific Trust Territories and Possessions,4
2020-03-16,Texas,2319
2020-03-16,Utah,393
2020-03-16,Virginia,927
2020-03-16,Virgin Islands,17
2020-03-16,Vermont,32
2020-03-16,Washington,668
2020-03-16,Wisconsin,211
2020-03-16,West Virginia,23
2020-03-16,Wyoming,36
2020-03-17,Alaska,96
2020-03-17,Alabama,128
2020-03-17,Arkansas,103
2020-03-17,Arizona,643
2020-03-17,California,2421
2020-03-17,Colorado,928
2020-03-17,Connecticut,86
2020-03-17,Florida,1885
2020-03-17,Georgia,1256
2020-03-17,Hawaii,358
2020-03-17,Iowa,99
2020-03-17,Idaho,97
2020-03-17,Illinois,1421
2020-03-17,Indiana,212
2020-03-17,Kansas,46
2020-03-17,Kentucky,268
2020-03-17,Louisiana,241
2020-03-17,Massachusetts,475
2020-03-17,Maryland,295
2020-03-17,Maine,51
2020-03-17,Michigan,662
2020-03-17,Minnesota,509
2020-03-17,Missouri,417
2020-03-17,Mississippi,44
2020-03-17,Montana,88
2020-03-17,North Carolina,1039
2020-03-17,North Dakota,62
2020-03-17,Nebraska,96
2020-03-17,New Hampshire,32
2020-03-17,New Jersey,487
2020-03-17,New Mexico,88
2020-03-17,Nevada,529
2020-03-17,New York,1214
2020-03-17,Ohio,370
2020-03-17,Oklahoma,124
2020-03-17,Oregon,304
2020-03-17,Pennsylvania,661
2020-03-17,Puerto Rico,93
2020-03-17,Rhode Island,52
2020-03-17,South Carolina,197
2020-03-17,South Dakota,46
2020-03-17,Tennessee,417
2020-03-17,Pacific Trust Territories and Possessions,5
2020-03-17,Texas,2244
2020-03-17,Utah,382
2020-03-17,Virginia,912
2020-03-17,Virgin Islands,18
2020-03-17,Vermont,31
2020-03-17,Washington,655
2020-03-17,Wisconsin,213
2020-03-17,West Virginia,22
2020-03-17,Wyoming,33
2020-03-18,Alaska,98
2020-03-18,Alabama,131
2020-03-18,Arkansas,100
2020-03-18,Arizona,656
2020-03-18,California,2455
2020-03-18,Colorado,942
2020-03-18,Connecticut,85
2020-03-18,Florida,1914
2020-03-18,Georgia,1251
2020-03-18,Hawaii,362
2020-03-18,Iowa,104
2020-03-18,Idaho,97
2020-03-18,Illinois,1436
2020-03-18,Indiana,223
2020-03-18,Kansas,49
2020-03-18,Kentucky,270
2020-03-18,Louisiana,242
2020-03-18,Massachusetts,473
2020-03-18,Maryland,297
2020-03-18,Maine,53
2020-03-18,Michigan,675
2020-03-18,Minnesota,513
2020-03-18,Missouri,416
2020-03-18,Mississippi,48
2020-03-18,Montana,87
2020-03-18,North Carolina,1067
2020-03-18,North Dakota,67
2020-03-18,Nebraska,102
2020-03-18,New Hampshire,32
2020-03-18,New Jersey,489
2020-03-18,New Mexico,86
2020-03-18,Nevada,545
2020-03-18,New York,1219
2020-03-18,Ohio,373
2020-03-18,Oklahoma,127
2020-03-18,Oregon,309
2020-03-18,Pennsylvania,666
2020-03-18,Puerto Rico,92
2020-03-18,Rhode Island,52
2020-03-18,South Carolina,199
2020-03-18,South Dakota,47
2020-03-18,Tennessee,415
2020-03-18,Pacific Trust Territories and Possessions,3
2020-03-18,Texas,2253
2020-03-18,Utah,387
2020-03-18,Virginia,910
2020-03-18,Virgin Islands,16
2020-03-18,Vermont,31
2020-03-18,Washington,653
2020-03-18,Wisconsin,211
2020-03-18,West Virginia,23
2020-03-18,Wyoming,31
2020-03-19,Alaska,98
2020-03-19,Alabama,133
2020-03-19,Arkansas,108
2020-03-19,Arizona,680
2020-03-19,California,2530
2020-03-19,Colorado,967
2020-03-19,Connecticut,85
2020-03-19,Florida,1947
2020-03-19,Georgia,1262
2020-03-19,Hawaii,373
2020-03-19,Iowa,100
2020-03-19,Idaho,106
2020-03-19,Illinois,1449
2020-03-19,Indiana,219
2020-03-19,Kansas,51
2020-03-19,Kentucky,281
2020-03-19,Louisiana,249
2020-03-19,Massachusetts,489
2020-03-19,Maryland,300
2020-03-19,Maine,54
2020-03-19,Michigan,680
2020-03-19,Minnesota,511
2020-03-19,Missouri,423
2020-03-19,Mississippi,47
2020-03-19,Montana,88
2020-03-19,North Carolina,1093
2020-03-19,North Dakota,68
2020-03-19,Nebraska,102
2020-03-19,New Hampshire,31
2020-03-19,New Jersey,493
2020-03-19,New Mexico,91
2020-03-19,Nevada,578
2020-03-19,New York,1238
2020-03-19,Ohio,376
2020-03-19,Oklahoma,130
2020-03-19,Oregon,326
2020-03-19,Pennsylvania,691
2020-03-19,Puerto Rico,92
2020-03-19,Rhode Island,53
2020-03-19,South Carolina,209
2020-03-19,South Dakota,48
2020-03-19,Tennessee,438
2020-03-19,Pacific Trust Territories and Possessions,6
2020-03-19,Texas,2318
2020-03-19,Utah,390
2020-03-19,Virginia,936
2020-03-19,Virgin Islands,18
2020-03-19,Vermont,31
2020-03-19,Washington,677
2020-03-19,Wisconsin,215
2020-03-19,West Virginia,23
2020-03-19,Wyoming,35
2020-03-20,Alaska,98
2020-03-20,Alabama,135
2020-03-20,Arkansas,102
2020-03-20,Arizona,681
2020-03-20,California,2528
2020-03-20,Colorado,960
2020-03-20,Connecticut,86
2020-03-20,Florida,1953
2020-03-20,Georgia,1260
2020-03-20,Hawaii,383
2020-03-20,Iowa,100
2020-03-20,Idaho,105
2020-03-20,Illinois,1448
2020-03-20,Indiana,221
2020-03-20,Kansas,51
2020-03-20,Kentucky,280
2020-03-20,Louisiana,252
2020-03-20,Massachusetts,486
2020-03-20,Maryland,300
2020-03-20,Maine,55
2020-03-20,Michigan,687
2020-03-20,Minnesota,513
2020-03-20,Missouri,421
2020-03-20,Mississippi,47
2020-03-20,Montana,89
2020-03-20,North Carolina,1102
2020-03-20,North Dakota,64
2020-03-20,Nebraska,102
2020-03-20,New Hampshire,33
2020-03-20,New Jersey,494
2020-03-20,New Mexico,92
2020-03-20,Nevada,585
2020-03-20,New York,1239
2020-03-20,Ohio,376
2020-03-20,Oklahoma,131
2020-03-20,Oregon,321
2020-03-20,Pennsylvania,690
2020-03-20,Puerto Rico,97
2020-03-20,Rhode Island,52
2020-03-20,South Carolina,207
2020-03-20,South Dakota,47
2020-03-20,Tennessee,437
2020-03-20,Pacific Trust Territories and Possessions,3
2020-03-20,Texas,2327
2020-03-20,Utah,392
2020-03-20,Virginia,929
2020-03-20,Virgin Islands,16
2020-03-20,Vermont,32
2020-03-20,Washington,679
2020-03-20,Wisconsin,210
2020-03-20,West Virginia,23
2020-03-20,Wyoming,35
2020-03-21,Alaska,91
2020-03-21,Alabama,102
2020-03-21,Arkansas,69
2020-03-21,Arizona,670
2020-03-21,California,2066
2020-03-21,Colorado,900
2020-03-21,Connecticut,75
2020-03-21,Florida,2112
2020-03-21,Georgia,1020
2020-03-21,Hawaii,382
2020-03-21,Iowa,89
2020-03-21,Idaho,88
2020-03-21,Illinois,1201
2020-03-21,Indiana,202
2020-03-21,Kansas,40
2020-03-21,Kentucky,211
2020-03-21,Louisiana,206
2020-03-21,Massachusetts,339
2020-03-21,Maryland,234
2020-03-21,Maine,48
2020-03-21,Michigan,519
2020-03-21,Minnesota,392
