Date,state,number_of_flights,number_of_new_cases
2020-01-04,Oklahoma,108,0
2020-01-04,Oregon,287,0
2020-01-04,Pennsylvania,566,0
2020-01-04,Puerto Rico,110,0
2020-01-04,Rhode Island,45,0
2020-01-04,South Carolina,161,0
2020-01-04,South Dakota,41,0
2020-01-04,Tennessee,318,0
2020-01-04,Pacific Trust Territories and Possessions,5,0
2020-01-04,Texas,2031,0
2020-01-04,Utah,321,0
2020-01-04,Virginia,726,0
2020-01-04,Virgin Islands,23,0
2020-01-04,Vermont,31,0
2020-01-04,Washington,602,0
2020-01-04,Wisconsin,164,0
2020-01-04,West Virginia,22,0
2020-01-04,Wyoming,41,0
2020-01-05,Alaska,98,0
2020-01-05,Alabama,108,0
2020-01-05,Arkansas,91,0
2020-01-05,Arizona,656,0
2020-01-05,California,2440,0
2020-01-05,Colorado,959,0
2020-01-05,Connecticut,78,0
2020-01-05,Florida,1935,0
2020-01-05,Georgia,1137,0
2020-01-05,Hawaii,396,0
2020-01-05,Iowa,92,0
2020-01-05,Idaho,99,0
2020-01-05,Illinois,1335,0
2020-01-05,Indiana,202,0
2020-01-05,Kansas,49,0
2020-01-05,Kentucky,236,0
2020-01-05,Louisiana,249,0
2020-01-05,Massachusetts,380,0
2020-01-05,Maryland,284,0
2020-01-05,Maine,43,0
2020-01-05,Michigan,575,0
2020-01-05,Minnesota,434,0
2020-01-05,Missouri,395,0
2020-01-05,Mississippi,41,0
2020-01-05,Montana,101,0
2020-01-05,North Carolina,1053,0
2020-01-05,North Dakota,62,0
2020-01-05,Nebraska,92,0
2020-01-05,New Hampshire,24,0
2020-01-05,New Jersey,452,0
2020-01-05,New Mexico,87,0
2020-01-05,Nevada,598,0
2020-01-05,New York,1039,0
2020-01-05,Ohio,355,0
2020-01-05,Oklahoma,131,0
2020-01-05,Oregon,311,0
2020-01-05,Pennsylvania,619,0
2020-01-05,Puerto Rico,108,0
2020-01-05,Rhode Island,46,0
2020-01-05,South Carolina,183,0
2020-01-05,South Dakota,47,0
2020-01-05,Tennessee,404,0
2020-01-05,Pacific Trust Territories and Possessions,3,0
2020-01-05,Texas,2278,0
2020-01-05,Utah,375,0
2020-01-05,Virginia,826,0
2020-01-05,Virgin Islands,19,0
2020-01-05,Vermont,31,0
2020-01-05,Washington,653,0
2020-01-05,Wisconsin,196,0
2020-01-05,West Virginia,22,0
2020-01-05,Wyoming,41,0
2020-01-06,Alaska,101,0
2020-01-06,Alabama,123,0
2020-01-06,Arkansas,97,0
2020-01-06,Arizona,623,0
2020-01-06,California,2468,0
2020-01-06,Colorado,890,0
2020-01-06,Connecticut,82,0
2020-01-06,Florida,1831,0
2020-01-06,Georgia,1198,0
2020-01-06,Hawaii,360,0
2020-01-06,Iowa,96,0
2020-01-06,Idaho,101,0
2020-01-06,Illinois,1339,0
2020-01-06,Indiana,206,0
2020-01-06,Kansas,52,0
2020-01-06,Kentucky,260,0
2020-01-06,Louisiana,233,0
2020-01-06,Massachusetts,449,0
2020-01-06,Maryland,282,0
2020-01-06,Maine,45,0
2020-01-06,Michigan,636,0
2020-01-06,Minnesota,470,0
2020-01-06,Missouri,400,0
2020-01-06,Mississippi,47,0
2020-01-06,Montana,87,0
2020-01-06,North Carolina,1088,0
2020-01-06,North Dakota,63,0
2020-01-06,Nebraska,100,0
2020-01-06,New Hampshire,26,0
2020-01-06,New Jersey,477,0
2020-01-06,New Mexico,88,0
2020-01-06,Nevada,615,0
2020-01-06,New York,1170,0
2020-01-06,Ohio,345,0
2020-01-06,Oklahoma,130,0
2020-01-06,Oregon,311,0
2020-01-06,Pennsylvania,640,0
2020-01-06,Puerto Rico,98,0
2020-01-06,Rhode Island,49,0
2020-01-06,South Carolina,180,0
2020-01-06,South Dakota,47,0
2020-01-06,Tennessee,405,0
2020-01-06,Pacific Trust Territories and Possessions,4,0
2020-01-06,Texas,2241,0
2020-01-06,Utah,371,0
2020-01-06,Virginia,883,0
2020-01-06,Virgin Islands,17,0
2020-01-06,Vermont,31,0
2020-01-06,Washington,651,0
2020-01-06,Wisconsin,205,0
2020-01-06,West Virginia,24,0
2020-01-06,Wyoming,29,0
2020-01-07,Alaska,94,0
2020-01-07,Alabama,113,0
2020-01-07,Arkansas,89,0
2020-01-07,Arizona,524,0
2020-01-07,California,2268,0
2020-01-07,Colorado,839,0
2020-01-07,Connecticut,77,0
2020-01-07,Florida,1564,0
2020-01-07,Georgia,1167,0
2020-01-07,Hawaii,334,0
2020-01-07,Iowa,83,0
2020-01-07,Idaho,91,0
2020-01-07,Illinois,1262,0
2020-01-07,Indiana,185,0
2020-01-07,Kansas,47,0
2020-01-07,Kentucky,234,0
2020-01-07,Louisiana,217,0
2020-01-07,Massachusetts,428,0
2020-01-07,Maryland,260,0
2020-01-07,Maine,47,0
2020-01-07,Michigan,588,0
2020-01-07,Minnesota,448,0
2020-01-07,Missouri,389,0
2020-01-07,Mississippi,43,0
2020-01-07,Montana,76,0
2020-01-07,North Carolina,941,0
2020-01-07,North Dakota,55,0
2020-01-07,Nebraska,88,0
2020-01-07,New Hampshire,24,0
2020-01-07,New Jersey,464,0
2020-01-07,New Mexico,77,0
2020-01-07,Nevada,505,0
2020-01-07,New York,1114,0
2020-01-07,Ohio,321,0
2020-01-07,Oklahoma,117,0
2020-01-07,Oregon,285,0
2020-01-07,Pennsylvania,579,0
2020-01-07,Puerto Rico,94,0
2020-01-07,Rhode Island,47,0
2020-01-07,South Carolina,163,0
2020-01-07,South Dakota,39,0
2020-01-07,Tennessee,378,0
2020-01-07,Pacific Trust Territories and Possessions,5,0
2020-01-07,Texas,2038,0
2020-01-07,Utah,352,0
2020-01-07,Virginia,860,0
2020-01-07,Virgin Islands,14,0
2020-01-07,Vermont,27,0
2020-01-07,Washington,597,0
2020-01-07,Wisconsin,194,0
2020-01-07,West Virginia,18,0
2020-01-07,Wyoming,24,0
2020-01-08,Alaska,98,0
2020-01-08,Alabama,124,0
2020-01-08,Arkansas,92,0
2020-01-08,Arizona,578,0
2020-01-08,California,2298,0
2020-01-08,Colorado,850,0
2020-01-08,Connecticut,76,0
2020-01-08,Florida,1606,0
2020-01-08,Georgia,1175,0
2020-01-08,Hawaii,329,0
2020-01-08,Iowa,89,0
2020-01-08,Idaho,91,0
2020-01-08,Illinois,1289,0
2020-01-08,Indiana,187,0
2020-01-08,Kansas,48,0
2020-01-08,Kentucky,239,0
2020-01-08,Louisiana,222,0
2020-01-08,Massachusetts,420,0
2020-01-08,Maryland,266,0
2020-01-08,Maine,49,0
2020-01-08,Michigan,610,0
2020-01-08,Minnesota,462,0
2020-01-08,Missouri,395,0
2020-01-08,Mississippi,46,0
2020-01-08,Montana,76,0
2020-01-08,North Carolina,1057,0
2020-01-08,North Dakota,61,0
2020-01-08,Nebraska,91,0
2020-01-08,New Hampshire,26,0
2020-01-08,New Jersey,459,0
2020-01-08,New Mexico,78,0
2020-01-08,Nevada,505,0
2020-01-08,New York,1145,0
2020-01-08,Ohio,328,0
2020-01-08,Oklahoma,120,0
2020-01-08,Oregon,289,0
2020-01-08,Pennsylvania,591,0
2020-01-08,Puerto Rico,92,0
2020-01-08,Rhode Island,49,0
2020-01-08,South Carolina,173,0
2020-01-08,South Dakota,40,0
2020-01-08,Tennessee,381,0
2020-01-08,Pacific Trust Territories and Possessions,3,0
2020-01-08,Texas,2092,0
2020-01-08,Utah,354,0
2020-01-08,Virginia,870,0
2020-01-08,Virgin Islands,13,0
2020-01-08,Vermont,27,0
2020-01-08,Washington,612,0
2020-01-08,Wisconsin,199,0
2020-01-08,West Virginia,22,0
2020-01-08,Wyoming,26,0
2020-01-09,Alaska,96,0
2020-01-09,Alabama,130,0
2020-01-09,Arkansas,103,0
2020-01-09,Arizona,614,0
2020-01-09,California,2403,0
2020-01-09,Colorado,882,0
2020-01-09,Connecticut,84,0
2020-01-09,Florida,1765,0
2020-01-09,Georgia,1199,0
2020-01-09,Hawaii,337,0
2020-01-09,Iowa,95,0
2020-01-09,Idaho,96,0
2020-01-09,Illinois,1337,0
2020-01-09,Indiana,200,0
2020-01-09,Kansas,49,0
2020-01-09,Kentucky,260,0
2020-01-09,Louisiana,237,0
2020-01-09,Massachusetts,450,0
2020-01-09,Maryland,270,0
2020-01-09,Maine,47,0
2020-01-09,Michigan,621,0
2020-01-09,Minnesota,470,0
2020-01-09,Missouri,407,0
2020-01-09,Mississippi,48,0
2020-01-09,Montana,86,0
2020-01-09,North Carolina,1083,0
2020-01-09,North Dakota,67,0
2020-01-09,Nebraska,95,0
2020-01-09,New Hampshire,27,0
2020-01-09,New Jersey,472,0
2020-01-09,New Mexico,83,0
2020-01-09,Nevada,605,0
2020-01-09,New York,1169,0
2020-01-09,Ohio,355,0
2020-01-09,Oklahoma,127,0
2020-01-09,Oregon,305,0
2020-01-09,Pennsylvania,652,0
2020-01-09,Puerto Rico,92,0
2020-01-09,Rhode Island,51,0
2020-01-09,South Carolina,180,0
2020-01-09,South Dakota,44,0
2020-01-09,Tennessee,409,0
2020-01-09,Pacific Trust Territories and Possessions,6,0
2020-01-09,Texas,2265,0
2020-01-09,Utah,368,0
2020-01-09,Virginia,893,0
2020-01-09,Virgin Islands,18,0
2020-01-09,Vermont,28,0
2020-01-09,Washington,650,0
2020-01-09,Wisconsin,207,0
2020-01-09,West Virginia,21,0
2020-01-09,Wyoming,29,0
2020-01-10,Alaska,98,0
2020-01-10,Alabama,133,0
2020-01-10,Arkansas,98,0
2020-01-10,Arizona,611,0
2020-01-10,California,2422,0
2020-01-10,Colorado,873,0
2020-01-10,Connecticut,84,0
2020-01-10,Florida,1771,0
2020-01-10,Georgia,1192,0
2020-01-10,Hawaii,346,0
2020-01-10,Iowa,92,0
2020-01-10,Idaho,96,0
2020-01-10,Illinois,1335,0
2020-01-10,Indiana,201,0
2020-01-10,Kansas,52,0
2020-01-10,Kentucky,261,0
2020-01-10,Louisiana,235,0
2020-01-10,Massachusetts,447,0
2020-01-10,Maryland,273,0
2020-01-10,Maine,50,0
2020-01-10,Michigan,631,0
2020-01-10,Minnesota,472,0
2020-01-10,Missouri,407,0
2020-01-10,Mississippi,48,0
2020-01-10,Montana,85,0
2020-01-10,North Carolina,1085,0
2020-01-10,North Dakota,63,0
2020-01-10,Nebraska,98,0
2020-01-10,New Hampshire,29,0
2020-01-10,New Jersey,474,0
2020-01-10,New Mexico,83,0
2020-01-10,Nevada,626,0
2020-01-10,New York,1172,0
2020-01-10,Ohio,347,0
2020-01-10,Oklahoma,126,0
2020-01-10,Oregon,304,0
2020-01-10,Pennsylvania,652,0
2020-01-10,Puerto Rico,97,0
2020-01-10,Rhode Island,51,0
2020-01-10,South Carolina,179,0
2020-01-10,South Dakota,44,0
2020-01-10,Tennessee,410,0
2020-01-10,Pacific Trust Territories and Possessions,3,0
2020-01-10,Texas,2258,0
2020-01-10,Utah,368,0
2020-01-10,Virginia,889,0
2020-01-10,Virgin Islands,15,0
2020-01-10,Vermont,29,0
2020-01-10,Washington,647,0
2020-01-10,Wisconsin,203,0
2020-01-10,West Virginia,24,0
2020-01-10,Wyoming,28,0
2020-01-11,Alaska,89,0
2020-01-11,Alabama,84,0
2020-01-11,Arkansas,62,0
2020-01-11,Arizona,522,0
2020-01-11,California,1845,0
2020-01-11,Colorado,758,0
2020-01-11,Connecticut,72,0
2020-01-11,Florida,1724,0
2020-01-11,Georgia,843,0
2020-01-11,Hawaii,347,0
2020-01-11,Iowa,74,0
2020-01-11,Idaho,82,0
2020-01-11,Illinois,1001,0
2020-01-11,Indiana,157,0
2020-01-11,Kansas,31,0
2020-01-11,Kentucky,172,0
2020-01-11,Louisiana,181,0
2020-01-11,Massachusetts,280,0
2020-01-11,Maryland,209,0
2020-01-11,Maine,43,0
2020-01-11,Michigan,453,0
2020-01-11,Minnesota,317,0
2020-01-11,Missouri,265,0
2020-01-11,Mississippi,35,0
2020-01-11,Montana,75,0
2020-01-11,North Carolina,852,0
2020-01-11,North Dakota,56,0
2020-01-11,Nebraska,72,0
2020-01-11,New Hampshire,26,0
2020-01-11,New Jersey,327,0
2020-01-11,New Mexico,56,0
2020-01-11,Nevada,485,0
2020-01-11,New York,796,0
2020-01-11,Ohio,259,0
2020-01-11,Oklahoma,84,0
2020-01-11,Oregon,235,0
2020-01-11,Pennsylvania,495,0
2020-01-11,Puerto Rico,107,0
2020-01-11,Rhode Island,45,0
2020-01-11,South Carolina,145,0
2020-01-11,South Dakota,37,0
2020-01-11,Tennessee,284,0
2020-01-11,Pacific Trust Territories and Possessions,5,0
2020-01-11,Texas,1642,0
2020-01-11,Utah,283,0
2020-01-11,Virginia,658,0
2020-01-11,Virgin Islands,23,0
2020-01-11,Vermont,25,0
2020-01-11,Washington,504,0
2020-01-11,Wisconsin,160,0
